alba_name,sub_code,job1,job_code1,job2,job_code2,job3,job_code3,job4,job_code4,job5,job_code5,job6,job_code6,job7,job_code7,job8,job_code8,job8,job_code8,job9,job_code9,job9,job_code9,job10,job_code10,job10,job_code10,job11,job_code11,job11,job_code11,job12,job_code12,job12,job_code12,job13,job_code13,job14,job_code14,job15,job_code15
반려동물케어, 4160,애완동물미용사,319,동물조련사,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
베이비시터ㆍ가사도우미, 4170,가사도우미,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
결혼ㆍ연회ㆍ장례도우미, 4180,커플매니저,1256,혼례종사원,1124,웨딩플래너,427,장례지도사,403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
판촉도우미, 4190,방문판매원,1113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이벤트ㆍ행사스텝, 4200,파티플래너,1276,행사기획자,951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
나레이터모델, 4210,성우,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
피팅모델, 4220,모델,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서비스 기타, 4990,주택관리사,405,이미지컨설턴트,325,체형관리사,179,패션코디네이터,345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사무보조, 6010,사무보조원,253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
문서작성ㆍ자료조사, 6015,설문조사원,165,속기사,459,시장 및 여론조사전문가,230,회계사무원,258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
비서, 6020,전문비서,378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경리ㆍ회계보조, 6030,세무사,224,회계사,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
인사ㆍ총무, 6033,경영컨설턴트,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
마케팅ㆍ광고ㆍ홍보, 6036,영업원,928,행사기획자,951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
